Deal ID	Companies	Year Founded	Employees	Raised to Date	Announced Date	All Industries	Primary Industry Sector	Primary Industry Group	New Investors	Implied EV	Keywords	Verticals	Deal Size	Post Valuation	EBITDA	Valuation/EBITDA	Revenue	Valuation/Revenue	Net Income	Deal Date	Deal Type	Investors	Primary Industry Code	HQ Location	View Company Online
176814-19T	3a-Diagnostics	2019			20-Jul-2021	Other Devices and Supplies*	Healthcare	Healthcare Devices and Supplies		3.86	"point-of-care test, point-of-care test systems, point-of-care testing, point-of-care testing device, point-of-care testing product, point-of-care testing solution"		4.43	4.43						06-Dec-2021	Merger/Acquisition	Bionxt Solutions (CNQ: BNXT)(Hugh Rogers)	Other Devices and Supplies	"Frickenhausen, Germany"	
313006-60T	3DEO	2016		7.23		"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		0.13	"3d visualisation tools, data analytics platform, environmental monitoring, industrial data analytics, intelligent device, intelligent sensors, real time data"	"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, Internet of Things, SaaS"	0.13	0.13						12-Nov-2025	Merger/Acquisition	Built Cybernetics (LON: BUC)	Business/Productivity Software	"Belfast, United Kingdom"	
248412-34T	3iQ	2012			28-Dec-2023	Asset Management*	Financial Services	Capital Markets/Institutions	Monex Group	38.46	"blockchain investment, crypto asset management, digital asset, fund manager, investment analytics, investment management fund, investment management service, quantitative techniques"	"Cryptocurrency/Blockchain, FinTech"	38.46	38.46						23-Apr-2024	Merger/Acquisition	Monex Group (TKS: 8698)(Yuko Seimei)	Asset Management	"Toronto, Canada"	
318287-80T	3iQ	2012			08-Jan-2026	Asset Management*	Financial Services	Capital Markets/Institutions		115.26	"blockchain investment, crypto asset management, digital asset, fund manager, investment analytics, investment management fund, investment management service, quantitative techniques"	"Cryptocurrency/Blockchain, FinTech"	111	115.26						28-Feb-2026	Merger/Acquisition	Coincheck Group (NAS: CNCK)	Asset Management	"Toronto, Canada"	
340012-54T	3Laws	2022		6.1	29-Apr-2026	"Business/Productivity Software, Electronic Equipment and Instruments, Machinery (B2B)*"	Business Products and Services (B2B)	Commercial Products		30	"collision avoidance, components failure analysis, fault detection, humanoid robotics, robotic solutions, robotic system developer, safety analytics"	"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Internet of Things, Robotics and Drones"	30	30						05-May-2026	Merger/Acquisition	Amazon Industrial Innovation Fund	Machinery (B2B)	"Pasadena, CA"	
227746-45T	3radical	2011		16.5	07-Jul-2023	Business/Productivity Software*	Information Technology	Software		1.6	"consumer engagement platform, employee engagement, gamification platform, gamification software, gamification system, online marketing platform"	Mobile	1.61	1.61						03-May-2024	Merger/Acquisition		Business/Productivity Software	"Bristol, United Kingdom"	
195270-13T	401kplans.com	2016				"Financial Software, Other Financial Services*"	Financial Services	Other Financial Services		14.5	"digital marketplace, due diligence tools, insurance technology, retirement plan, retirement planning, retirement planning information, retirement planning tools"	FinTech	14.5	14.5						31-May-2022	Merger/Acquisition	Envestnet(Andrew Stavaridis)	Other Financial Services	"Naples, FL"	
265718-80T	42matters	2011		4.62		"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		13.75	"consumer engagement, data center, data infrastructure, insights data, mobile application analytics, mobile insights, performance metrics, review analysis"	"AdTech, Artificial Intelligence & Machine Learning, Cybersecurity, Marketing Tech, Mobile, SaaS, TMT"	13.75	13.75						01-Jul-2024	Merger/Acquisition	SimilarWeb (NYS: SMWB)(Or Offer)	Business/Productivity Software	"Zurich, Switzerland"	
246878-56T	4U By Tia	2023				Personal Products*	Consumer Products and Services (B2C)	Consumer Non-Durables		0.6	"hair care, hair conditioner, hair cream, hair shampoo, personal care, personal products"	"E-Commerce, LOHAS & Wellness"	0.6	0.6						02-Dec-2023	Merger/Acquisition	Scent Theory Products	Personal Products	"Emeryville, CA"	
188404-30T	5th Planet Games (OSL: 5PG)	2011		18.3	10-Aug-2021	Publishing*	Consumer Products and Services (B2C)	Media		16.3	"collectibles card, gaming content, gaming developer, gaming publisher, gaming site, gaming studio, immersive social games, mobile platform, online game studio, online games"	"Esports, Gaming, Mobile, SaaS"	10.6	18.03	-0.95	-18.93	0.4	44.55	-3.35	23-Sep-2021	Merger/Acquisition	Skybound (Los Angeles)(David Alpert)	Publishing	"Copenhagen, Denmark"	
214198-39T	60 Degrees Pharma (NAS: SXTP)	2010		11.26	31-Jan-2023	"Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology			"clinical research, drugs design, drugs release, pharmaceutical products, small molecule, small molecule therapeutics, therapeutic drug compound, therapeutic study"	"HealthTech, Life Sciences"	7.5	29.52	-4.41	-6.7	0.24	120.54	-9.06	13-Jul-2023	IPO		Drug Discovery	"Washington, DC"	
313261-57T	6K Additive (ASX: 6KA)	2017		31.23	04-Nov-2025	Industrial Supplies and Parts*	Business Products and Services (B2B)	Commercial Products			"alloy metal, alloy rods, metal powder, metal powder coating, metal powder equipment, metal powder manufacturer, metal powder product, metal powder production"		31.23	173.73	-12.93	-13.43	17.68	9.83	-17.91	02-Dec-2025	IPO		Industrial Supplies and Parts	"Burgettstown, PA"	
168961-60T	7D Surgical	2009		4.6	22-Mar-2021	"Diagnostic Equipment, Other Healthcare Technology Systems, Surgical Devices*"	Healthcare	Healthcare Devices and Supplies		120.64	"3d patient digitization, healthcare service, machine vision technology, optical technology, surgery system, surgical system, vision technology"	Artificial Intelligence & Machine Learning	120.64	120.64						20-May-2021	Merger/Acquisition	SeaSpine Holdings(Keith Valentine)	Surgical Devices	"Toronto, Canada"	
217760-86T	8 Rivers	2008		100		"Alternative Energy Equipment*, Energy Infrastructure"	Energy	Energy Equipment		340.9	"clean fuel, energy solutions, energy technology, net-zero emission, reduce carbon emission, storage technology, sustainable energy"	"CleanTech, Climate Tech, LOHAS & Wellness"	300	340.9						07-Mar-2023	Merger/Acquisition	SK Materials Company(Young-Wook Lee)	Alternative Energy Equipment	"Durham, NC"	
307534-51T	89bio	2018		981.44	17-Sep-2025	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		1626.88	"biologics, healthcare innovation, healthcare research, liver treatment programs, medical innovation, medical research, peptides, pharmaceutical, protein"	"Life Sciences, LOHAS & Wellness"	1323.55	2188.04	-465.64	-4.7	0		-450.21	30-Oct-2025	Merger/Acquisition	Roche (SWX: ROP)(Boris Zaïtra)	Drug Discovery	"San Francisco, CA"	
217251-46T	98point6	2015		261.52		"Application Software, Clinics/Outpatient Services*, Other Healthcare Technology Systems"	Healthcare	Healthcare Services		100	"enterprise resource planning, general care, healthcare consultation, online consultation, primary care, primary care software, virtual clinics"	"Artificial Intelligence & Machine Learning, Digital Health, Mobile, SaaS"	100	100						04-Apr-2023	Merger/Acquisition	Transcarent(Glen Tullman)	Clinics/Outpatient Services	"Seattle, WA"	
282951-10T	Aardvark Therapeutics (NAS: AARD)	2017		223.21	23-Jan-2025	"Biotechnology, Discovery Tools (Healthcare), Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"biopharmaceutical firm, biopharmaceutical therapy, chemistry, metabolic disease cure, metabolic disease therapeutics, metabolic disease treatment, obesity care, obesity drugs, obesity therapy, small molecule"	"HealthTech, Life Sciences, LOHAS & Wellness"	94.21	342.2	-22.99	-14.89	0		-20.59	13-Feb-2025	IPO		Drug Discovery	"San Diego, CA"	
173347-93T	Aarki	2010		4.2	01-Jun-2021	"Business/Productivity Software, Media and Information Services (B2B)*"	Business Products and Services (B2B)	Commercial Services		162.34	"advertising campaigns, customer relationship management, gaming monetization, marketing and advertising, mobile advertising application, mobile marketing, vertical application"	"AdTech, Artificial Intelligence & Machine Learning, Big Data, SaaS"	162.34	162.34			30	5.41		16-Jul-2021	Merger/Acquisition	Firy (NYS: FIRY)(Andrew Paradise)	Media and Information Services (B2B)	"San Francisco, CA"	
259944-49T	Aaron.ai	2015		3.73		"Automation/Workflow Software, Business/Productivity Software*, Communication Software"	Information Technology	Software		40.16	"communication platform, customer engagement, customer interaction platform, customer interaction system, customer service management, digital practice, natural language technology, voice assistants"	Artificial Intelligence & Machine Learning	43.08	43.08						22-May-2024	Merger/Acquisition	Doctolib	Business/Productivity Software	"Berlin, Germany"	
188247-52T	AAT Carriers	2007				"Logistics*, Road"	Business Products and Services (B2B)	Commercial Services		38.79	"commercial supply, monitor shipment, satellite tracking, transportation company, transportation protective service, trucking"	"Industrials, Mobility Tech"	38.79	38.79						09-Feb-2022	Merger/Acquisition	Covenant Logistics Group (NYS: CVLG)	Logistics	"Chattanooga, TN"	
205205-68T	AavantiBio	2017		106.87	29-Sep-2022	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		9.17	"drug research technology, gene delivery, gene therapeutics, gene therapy, gene therapy company, gene therapy provider, genetic disease care, genetic disease drugs, genetic therapy"	Life Sciences	9.17	9.17						02-Dec-2022	Merger/Acquisition	Solid Biosciences (NAS: SLDB)(Ilan Ganot)	Drug Discovery	"Cambridge, MA"	
207232-12T	Abaca (Financial Software)	2017		2.78	31-Oct-2022	"Financial Software*, Other Financial Services"	Information Technology	Software		28.4	"cannabis banking, cannabis banking platform, cannabis banking software, cannabis funding, cannabis payment card, cannabis payment system, commercial finance, digital banking, payment processing, treasury management tool"	"Cannabis, FinTech"	28.4	28.4						15-Nov-2022	Merger/Acquisition	SHF Holdings (NAS: SHFS)(Sundie Seefried)	Financial Software	"North Little Rock, AR"	
142546-87T	AbelZeta	2001		127.74	12-Aug-2020	"Biotechnology, Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology		384.97	"biotechnology research, biotechnology research company, cancer immunotherapy, cell therapy, immune cells, stem cell therapy"	"Life Sciences, Oncology"	411	411	-48.63	-8.45	0.32	1272.64	-54.8	19-Feb-2021	Merger/Acquisition	GIC Private	Drug Discovery	"Rockville, MD"	
183292-12T	Abfero Pharmaceuticals	2016		5.43		"Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology		225	"brain injury, drug companies, iron chelation agent, neurodegeneration treatment, pharma firm, pharmaceutical company, pharmaceutical company operator, transfusion therapy, vision loss"	Life Sciences	225	225						11-Nov-2021	Merger/Acquisition	Pharmacosmos(Lars Christensen)	Drug Discovery	"Boston, MA"	
178873-30T	Abios Gaming	2013	40	10.47		"Information Services (B2C), IT Consulting and Outsourcing*, Media and Information Services (B2B), Other Commercial Services"	Information Technology	IT Services		30.02	"content visualization, data distribution, data gathering, esports streaming, gaming analytics, sports data analysis"	"Esports, Gaming, TMT"	31.12	31.12	-0.1	-299.32	2.71	11.47	0.16	24-Aug-2021	Merger/Acquisition	Kambi Group (STO: KAMBI)(Kristian Nylén)	IT Consulting and Outsourcing	"Stockholm, Sweden"	
279981-73T	Abliva	2000		27.14	15-Dec-2024	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		71.17	"biotechnology company, medicine development, mitochondrial disease, mitochondrial pharmaceutical, pharmaceutical development, pharmaceutical product"	"Life Sciences, Manufacturing"	65.9	74.13	-8.41	-8.82	0		-8.51	14-Feb-2025	Merger/Acquisition	Pharming Group (AMS: PHARM)	Drug Discovery	"Lund, Sweden"	
196610-05T	AboundBio	2019				"Biotechnology*, Drug Discovery"	Healthcare	Pharmaceuticals and Biotechnology		14	"antibody discovery, biological therapeutics, biotech company, cancer target, cancer therapeutics, cancer treatment, immunotherapies developer"	"Life Sciences, Oncology"	14	14						21-Jun-2022	Merger/Acquisition	Lakefront Biotherapeutics (AMS: LKFT)(Paulus Stoffels)	Biotechnology	"Pittsburgh, PA"	
173090-62T	About You	2014		300	27-May-2021	"Clothing, Information Services (B2C), Internet Retail*"	Consumer Products and Services (B2C)	Retail			"apparel, branding stores, ecommerce platform, ecommerce platform user, ecommerce site, online fashion store, storefronts & headless apis, storefronts and headless apis"	"E-Commerce, Mobile, Mobile Commerce, TMT"	891.46		-59.5		1580.52		-82.14	16-Jun-2021	IPO		Internet Retail	"Hamburg, Germany"	
279728-47T	About You	2014		957	11-Dec-2024	"Clothing, Information Services (B2C), Internet Retail*"	Consumer Products and Services (B2C)	Retail		1527.86	"apparel, branding stores, ecommerce platform, ecommerce platform user, ecommerce site, online fashion store, storefronts & headless apis, storefronts and headless apis"	"E-Commerce, Mobile, Mobile Commerce, TMT"	1397.23	1527.87	-17.69	-86.37	2279.82	0.67	-113.83	11-Jul-2025	Merger/Acquisition	Zalando (ETR: ZAL)(Robert Gentz)	Internet Retail	"Hamburg, Germany"	
175557-97T	Absci (NAS: ABSI)	2011		434.2	30-Jun-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology	GT Healthcare Capital Partners		"drug development solutions, drug discovery, generative ai, target discovery, therapeutic antibodies, therapeutic protein"	Life Sciences	200	1446	-61.77	-23.41	5.44	266.05	-60.85	22-Jul-2021	IPO	GT Healthcare Capital Partners	Drug Discovery	"Vancouver, WA"	
218025-73T	Absfront	2009	32			Business/Productivity Software*	Information Technology	Software		3.79	"crm software, crm software platform, crm software product, customer relationship management, customer relationship management service, independent software vendor, microsoft dynamics 365, power platform, productivity software"	"AdTech, Marketing Tech"	3.92	3.92	0.35	11.28	2.73	1.44	0.15	10-Jan-2023	Merger/Acquisition	CombinedX (STO: CX)(Jörgen Qwist)	Business/Productivity Software	"Malmo, Sweden"	
183855-43T	Abveris	2017	45	1	22-Nov-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		102.6	"biotechnology research, biotechnology research center, biotechnology research company, immunization, immunization record, immunization service"		102.6	102.6						01-Dec-2021	Merger/Acquisition	Twist Bioscience (NAS: TWST)(Emily Leproust)	Drug Discovery	"Quincy, MA"	
318829-06T	Acacia (Recreational Goods)	2021				"Electronics (B2C), Recreational Goods*"	Consumer Products and Services (B2C)	Consumer Durables		65	"camping equipment, camping gear, camping product, camping tent, electric pumps, led lighting, portable solar panels"	"E-Commerce, Manufacturing"	65	65						09-Dec-2025	Merger/Acquisition	Acacia (New York)(Nelson Chiwara)	Recreational Goods	"Newark, CA"	
120625-75T	Acacia Communications	2009		276.05	14-Jan-2021	"Connectivity Products*, Fiberoptic Equipment, Internet Service Providers"	Information Technology	Communications and Networking		4563.13	"connectivity product, connectivity products, digital modulation, digital signal processing, fiber optic transmission, optical transport, processor design"	"Manufacturing, TMT"	4983	4983	100.32	49.67	583.45	8.54	90.39	01-Mar-2021	Merger/Acquisition	Cisco Systems (NAS: CSCO)(David Goeckeler)	Connectivity Products	"Maynard, MA"	
191096-11T	Acacia Pharma	2007		189.75	27-Mar-2022	Pharmaceuticals*	Healthcare	Pharmaceuticals and Biotechnology		82.37	"oncology care, oral dosage, pharmaceutical chain, pharmaceutical company, pharmaceutical product, specialty pharmaceutical"	"Life Sciences, Oncology"	103.99	103.99	-56.49	-1.84	1.16	89.42	-67.07	09-Jun-2022	Merger/Acquisition	Eagle Pharmaceuticals (OTCM: EGRX)	Pharmaceuticals	"Cambridge, United Kingdom"	
333185-86T	Acasi	2017		2.22	26-May-2026	Financial Software*	Information Technology	Software		0.86	"automated management, automated management platform, financial management, online accountant, quote and invoicing, vat management, vat returns"		0.86	0.86						03-Jul-2026	Merger/Acquisition	Qonto	Financial Software	"Paris, France"	
174208-24T	Acast (STO: ACAST)	2014		314.84	01-Jun-2021	"Business/Productivity Software, Media and Information Services (B2B)*"	Business Products and Services (B2B)	Commercial Services	"Alecta Tjänstepension Ömsesidigt, Kuvari Partners, Svenska Handelsbanken"		"audio content, audio on demand, podcast content application, podcast discovery, podcast management platform, podcast publishing, podcasting platform"	"AdTech, AudioTech"	220.51	803.84	-18.63	-43.14	75.92	10.59	-19.81	17-Jun-2021	IPO	"Alecta Tjänstepension Ömsesidigt, Kuvari Partners, Svenska Handelsbanken (STO: SHB A)"	Media and Information Services (B2B)	"Stockholm, Sweden"	
180681-85T	Acceleron Pharma	2003		425.47	30-Sep-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		17599	"biopharmaceutical, biotherapeutics, cancer disease, cellular proliferation, clinical trials, drug development, life-changing medicine, therapeutics firm"	"Life Sciences, Oncology"	11514	18189.57	-250.61	-72.58	112.76	161.31	-254.85	19-Nov-2021	Merger/Acquisition	Merck & Co. (NYS: MRK)(Robert Davis)	Drug Discovery	"Cambridge, MA"	
319587-94T	Accellix	2007	70	37.35	20-Jan-2026	"Diagnostic Equipment*, Other Healthcare Technology Systems"	Healthcare	Healthcare Devices and Supplies		55.89	"biotechnological devices, biotechnological firm, biotechnological test, cell analysis equipment, cytometer system, diagnostic information, gene therapy, quality control"	"Life Sciences, SaaS"	50.3	55.89						22-Jan-2026	Merger/Acquisition	BioMérieux (PAR: BIM)	Diagnostic Equipment	"San Jose, CA"	
169495-75T	Access Physicians	2011		9.88		"Other Healthcare Services, Other Healthcare Technology Systems*"	Healthcare	Healthcare Technology Systems		234	"cardiology care, general care, general internal medicine, neurology care, primary care, telehealth, telemedicine platform, telemedicine provider, telemedicine services"	"Digital Health, HealthTech"	234	234						26-Mar-2021	Merger/Acquisition	Access TeleCare(John Kalix)	Other Healthcare Technology Systems	"Dallas, TX"	
190179-73T	Accessibility Now	2001		0.02		"Business/Productivity Software, Database Software, Software Development Applications*"	Information Technology	Software		7.8	"accessibility testing, compliance platform, internet accessibility, website accessibility, website accessibility software, website accessibility testing"	"SaaS, TMT"	7.8	7.8						09-Mar-2022	Merger/Acquisition	AudioEye (NAS: AEYE)(David Moradi)	Software Development Applications	"East Greenwich, RI"	
247524-04T	Acclarent	2003			13-Dec-2023	"Medical Supplies, Surgical Devices*"	Healthcare	Healthcare Devices and Supplies		280	"chronic sinusitis, medical care, medical device, medical device firm, sinus stent, surgical device"	"Life Sciences, LOHAS & Wellness"	280	280						01-Apr-2024	Merger/Acquisition	Integra LifeSciences Holding (NAS: IART)	Surgical Devices	"Irvine, CA"	
281660-59T	Accolade (Managed Care)	2007		653.34	08-Jan-2025	"Managed Care*, Media and Information Services (B2B), Other Healthcare Technology Systems"	Healthcare	Healthcare Services		578.59	"care management program, general care, healthcare engagement platform, healthcare information service, healthcare system navigation, personalized health care, primary care, telehealth"	"Artificial Intelligence & Machine Learning, Big Data, HealthTech, SaaS, TMT"	804.07	804.07	-142.59	-5.64	446.72	1.8	-180.3	01-Apr-2025	Merger/Acquisition	Transcarent(Glen Tullman)	Managed Care	"Seattle, WA"	
201009-52T	Accrualify	2015		3.79		Financial Software*	Information Technology	Software		41.2		"B2B Payments, FinTech, SaaS, TMT"	41.2	41.2						03-Aug-2022	Merger/Acquisition	Corpay (NYS: CPAY)(Ronald Clarke)	Financial Software	"San Mateo, CA"	
278869-24T	Accubits	2012		0.03		"Business/Productivity Software, IT Consulting and Outsourcing*"	Information Technology	IT Services		0.62	"ai development tool, blockchain data, blockchain development, blockchain development tool, digital transformation, product development"	"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, Mobile"	0.58	0.62						02-Dec-2024	Merger/Acquisition	Response Informatics (BOM: 538273)	IT Consulting and Outsourcing	"Vienna, VA"	
179943-22T	Accurics	2019		20	13-Sep-2021	Network Management Software*	Information Technology	Software		160	"breach path prediction, cloud integrity software, cloud native systems, cybersecurity platform, devops platform, devops tools"	Cybersecurity	160	160						01-Oct-2021	Merger/Acquisition	Tenable (NAS: TENB)(Amit Yoran)	Network Management Software	"Pleasanton, CA"	
187637-23T	Accusonus	2012		3.9		Multimedia and Design Software*	Information Technology	Software		85	"audio software, audio software development, digital audio, music software, music software developer, video editing software"	"Artificial Intelligence & Machine Learning, AudioTech, Mobile, SaaS, TMT"	85	85						10-Feb-2022	Merger/Acquisition	Meta Platforms (NAS: META)	Multimedia and Design Software	"Lexington, MA"	
167122-90T	ACEA Therapeutics	2005		30.71	05-Apr-2021	"Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology	Sorrento Therapeutics	38	"drug research, immunotherapy center, immunotherapy trials, oncology care, oncology drug developer, oncology research"	"Life Sciences, Oncology"	38	38						01-Jun-2021	Merger/Acquisition	Sorrento Therapeutics (OTCM: SRNE)(Henry Ji)	Drug Discovery	"San Diego, CA"	
329783-59T	ACEA Therapeutics	2005			04-May-2026	"Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology		1000	"drug research, immunotherapy center, immunotherapy trials, oncology care, oncology drug developer, oncology research"	"Life Sciences, Oncology"	1000	1000						04-May-2026	Merger/Acquisition	Phoenix Asia Holdings (NAS: PHOE)	Drug Discovery	"San Diego, CA"	
220428-37T	Acelyrin	2020		1098	13-Apr-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"antibody, biologics, biopharma company, biopharmaceutical medicine, biotechnology research, drug candidates testing, drug development, medicine development company"	Life Sciences	540	1668.6	-232.49	-7.18	0		-225.14	05-May-2023	IPO		Drug Discovery	"Agoura Hills, CA"	
284411-08T	Acelyrin	2020		1098	06-Feb-2025	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"antibody, biologics, biopharma company, biopharmaceutical medicine, biotechnology research, drug candidates testing, drug development, medicine development company"	Life Sciences	134.24	244.07	-294.75	-0.83	0		-268.52	21-May-2025	Merger/Acquisition	Alumis. (NAS: ALMS)(Martin Babler)	Drug Discovery	"Agoura Hills, CA"	
276161-14T	Acenta	2019		4.89	30-Oct-2024	"Internet Retail, Recreational Goods, Specialty Retail*"	Consumer Products and Services (B2C)	Retail	Bonzun		"gear parts, online retailer, online shop, padel court, sporting goods seller, sports apparel"	E-Commerce	7.23		-1.62		0.04		-4.86	24-Jan-2025	Reverse Merger	Bonzun (STO: PADEL)(Hakan Johansson)	Specialty Retail	"Stockholm, Sweden"	
313753-60T	Acera Surgical	2013		10.92	20-Nov-2025	Therapeutic Devices*	Healthcare	Healthcare Devices and Supplies		776	"burns treatment, chronic wounds healing, healing product, healing wound, tissue repair product, wound treatment"		776	776			90	8.62		23-Dec-2025	Merger/Acquisition	Solventum (NYS: SOLV)(Bryan Hanson)	Therapeutic Devices	"Saint Louis, MO"	
233302-51T	Aceyus	2002		1.55	08-Jul-2023	"Automation/Workflow Software, Business/Productivity Software*"	Information Technology	Software		82.01	"contact center, contact center system, contact center tools, customer relationship management, data reporting, omnichannel insights"	Marketing Tech	82.01	82.01						07-Aug-2023	Merger/Acquisition	Five9 (NAS: FIVN)	Business/Productivity Software	"Charlotte, NC"	
167627-80T	Achilles Therapeutics	2016		389.65	01-Mar-2021	Biotechnology*	Healthcare	Pharmaceuticals and Biotechnology			"biopharmaceutical company, cancer immunotherapy, cancer treatment therapy, cell therapy, medical innovation, t cell therapy, tumor immune"	"Life Sciences, Oncology"	175.5	731.19	-40.27	-18.16	0		-41.75	31-Mar-2021	IPO		Biotechnology	"London, United Kingdom"	
