company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Gorilla Technology Group (NAS: GRRR),GRRR,0001903145,14-Jul-2022,Reverse Merger,"""London, United Kingdom""",2001-05,SEC filing,MEDIUM_HIGH,SEC_MATCH,Gorilla Technology Group Inc.,20-F,https://www.sec.gov/Archives/edgar/data/1903145/000121390025037703/ea0239609-20f_gorilla.htm,Extracted from filing text: incorporated in the Cayman Islands in May 2001
GRAIL (NAS: GRAL),GRAL,0001699031,18-Aug-2021,Merger/Acquisition,"""Menlo Park, CA""",,SEC,LOW,MATCH_NO_DATE,"GRAIL, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1699031/000162828026017319/gral-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-12
Grove Collaborative (NYS: GROV),GROV,0001841761,17-Jun-2022,Reverse Merger,"""San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,"Grove Collaborative Holdings, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1841761/000184176126000017/grov-20260317.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-19
Grupa Pracuj (WAR: GPP),GPP,,09-Dec-2021,IPO,"""Warsaw, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Guerrilla RF (PINX: GUER),GUER,0001832487,27-Oct-2021,Reverse Merger,"""Greensboro, NC""",2013,SEC filing,LOW,SEC_MATCH,"Guerrilla RF, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1832487/000143774926009848/guer20251231_10k.htm,Extracted from filing text: founded in 2013
Hannun (MAD: HAN),HAN,,29-Jun-2022,IPO,"""Barcelona, Spain""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
HCW Biologics (NAS: HCWB),HCWB,0001828673,20-Jul-2021,IPO,"""Miramar, FL""",2018-04,SEC filing,MEDIUM_HIGH,SEC_MATCH,HCW Biologics Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1828673/000119312526134934/hcwb-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in April 2018
HDF Energy (PAR: HDF),HDF,,24-Jun-2021,IPO,"""Blanquefort, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
HeartBeam (NAS: BEAT),BEAT,0001779372,11-Nov-2021,IPO,"""Santa Clara, CA""",2015,SEC filing,MEDIUM,SEC_MATCH,"HeartBeam, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1779372/000119312526104080/beat-20251231.htm,Extracted from filing text: incorporated in 2015
HeartFlow (NAS: HTFL),HTFL,0001464521,08-Aug-2025,IPO,"""Mountain View, CA""",2007-07,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Heartflow, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1464521/000146452126000042/htfl-20251231x10k.htm,Extracted from filing text: incorporated in the state of Delaware in July 2007
HeartSciences (NAS: HSCS),HSCS,0001468492,15-Jun-2022,IPO,"""Southlake, TX""",,SEC,LOW,MATCH_NO_DATE,HeartSciences Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1468492/000121390026040032/ea0285132-8k_heartsci.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-03
Helyx Industries (MIL: HLX),HLX,0000866829,06-Aug-2021,IPO,"""Udine, Italy""",1979,SEC filing,MEDIUM,SEC_MATCH,HELIX ENERGY SOLUTIONS GROUP INC,10-K,https://www.sec.gov/Archives/edgar/data/866829/000086682926000008/hlx-20251231x10k.htm,Extracted from filing text: incorporated in 1979
Hempalta (TSX: HEMP),HEMP,,19-Mar-2024,Reverse Merger,"""Calgary, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Hertz Energy (CNQ: HZ),HZ,,10-Apr-2023,IPO,"""Vancouver, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Hexicon (STO: HEXI),HEXI,,22-Jun-2021,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
