company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Peraso (NAS: PRSO),PRSO,0000890394,17-Dec-2021,Reverse Merger,"""San Jose, CA""",,SEC,LOW,MATCH_NO_DATE,Peraso Inc.,8-K,https://www.sec.gov/Archives/edgar/data/890394/000121390026042525/ea0285664-8k_peraso.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-10
Pharvaris (NAS: PHVS),PHVS,0001830487,05-Feb-2021,IPO,"""Zug, Switzerland""",2015-09-30,SEC filing,HIGH,SEC_MATCH,Pharvaris N.V.,20-F,https://www.sec.gov/Archives/edgar/data/1830487/000183048726000013/phvs-20251231.htm,"Extracted from filing text: incorporated on September 30, 2015"
Phoenix Motorcars (PINX: PEVMD),PEVMD,,08-Jun-2022,IPO,"""Anaheim, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Physitrack (STO: PTRK),PTRK,,18-Jun-2021,IPO,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Picard Medical (ASE: PMI),PMI,0002030617,29-Aug-2025,IPO,"""Tucson, AZ""",2021-04-08,SEC filing,HIGH,SEC_MATCH,"Picard Medical, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/2030617/000143774926010133/pmi20251231_10k.htm,"Extracted from filing text: incorporated in the state of Delaware on April 8, 2021"
Pila Pharma (STO: PILA),PILA,,15-Jul-2021,IPO,"""Malmo, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Pineapple Financial (ASE: PAPL),PAPL,0001938109,01-Nov-2023,IPO,"""Toronto, Canada""",,SEC,LOW,MATCH_NO_DATE,Pineapple Financial Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1938109/000149315226011274/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-18
Pixfam (NGM: PIXFAM),PIXFAM,,17-Sep-2021,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Planet Labs (NYS: PL),PL,0001836833,07-Dec-2021,Reverse Merger,"""San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,Planet Labs PBC,8-K,https://www.sec.gov/Archives/edgar/data/1836833/000119312526127750/pl-20260327.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-27
Planethic Group (FRA: VEZ),VEZ,,10-Nov-2021,IPO,"""Ludwigsfelde, Germany""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
PLAYSTUDIOS (NAS: MYPS),MYPS,0001823878,21-Jun-2021,Reverse Merger,"""Las Vegas, NV""",,SEC,LOW,MATCH_NO_DATE,"PLAYSTUDIOS, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1823878/000182387826000029/myps-20260312.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-18
PMGC Holdings (NAS: ELAB),ELAB,0001840563,22-Nov-2023,IPO,"""Newport Beach, CA""",,SEC,LOW,MATCH_NO_DATE,PMGC Holdings Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1840563/000121390026041738/ea0285514-8k_pmgchold.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
Pollenity (XBUL: BEE),BEE,,05-Aug-2022,IPO,"""Sofia, Bulgaria""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Prime Medicine (NAS: PRME),PRME,0001894562,20-Oct-2022,IPO,"""Cambridge, MA""",2019-09,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Prime Medicine, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1894562/000162828026013569/prme-20251231.htm,Extracted from filing text: incorporated in the State of Delaware in September 2019
PROCEPT BioRobotics (NAS: PRCT),PRCT,0001588978,15-Sep-2021,IPO,"""Redwood Shore, CA""",,SEC,LOW,MATCH_NO_DATE,PROCEPT BioRobotics Corp,8-K,https://www.sec.gov/Archives/edgar/data/1588978/000158897826000013/prct-20260305.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-06
