company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
BitGo (NYS: BTGO),BTGO,0001740604,22-Jan-2026,IPO,"""Palo Alto, CA""",,SEC,LOW,MATCH_NO_DATE,"BITGO HOLDINGS, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1740604/000174060426000024/btgo-20260406x8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-06
BlackSky Technology (NYS: BKSY),BKSY,0001753539,08-Sep-2021,Reverse Merger,"""Herndon, VA""",,SEC,LOW,MATCH_NO_DATE,BlackSky Technology Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1753539/000175353926000045/bksy-20260407.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
Blaize (NAS: BZAI),BZAI,0001871638,13-Jan-2025,Reverse Merger,"""El Dorado Hills, CA""",2010,SEC filing,MEDIUM,SEC_MATCH,"Blaize Holdings, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1871638/000187163826000011/blz-20251231.htm,Extracted from filing text: incorporated in 2010
Blend Labs (NYS: BLND),BLND,0001855747,16-Jul-2021,IPO,"""San Francisco, CA""",2012-04-17,SEC filing,HIGH,SEC_MATCH,"Blend Labs, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1855747/000185574726000016/blnd-20251231.htm,"Extracted from filing text: incorporated in the state of Delaware on April 17, 2012"
Bluejay Diagnostics (NAS: BJDX),BJDX,0001704287,10-Nov-2021,IPO,"""Acton, MA""",,SEC,LOW,MATCH_NO_DATE,"Bluejay Diagnostics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1704287/000121390026040728/ea0285343-8k_bluejay.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
Boa Concept (PAR: ALBOA),ALBOA,,29-Jun-2021,IPO,"""Saint-�tienne, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Boleron (XBUL: BLRN),BLRN,,15-Feb-2024,IPO,"""Sofia, Bulgaria""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Bolt Biotherapeutics (NAS: BOLT),BOLT,0001641281,05-Feb-2021,IPO,"""Redwood City, CA""",2015,SEC filing,LOW,SEC_MATCH,"Bolt Biotherapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1641281/000119312526104121/bolt-20251231.htm,Extracted from filing text: founded in 2015
Bonzun (STO: PADEL),PADEL,,13-Oct-2021,Reverse Merger,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Boundless Bio (NAS: BOLD),BOLD,0001782303,28-Mar-2024,IPO,"""San Diego, CA""",2018-04-10,SEC filing,HIGH,SEC_MATCH,"Boundless Bio, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1782303/000119312526097543/bold-20251231.htm,"Extracted from filing text: incorporated in the state of Delaware on April 10, 2018"
BPC Instruments (SAT: BPCINS),BPCINS,,16-Dec-2021,IPO,"""Lund, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Brag House (NAS: TBH),TBH,0001903595,06-Mar-2025,IPO,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,"Brag House Holdings, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1903595/000121390026037853/ea0284417-8k425_brag.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Brain+ (CSE: BRAINP),BRAINP,,07-Oct-2021,IPO,"""Copenhagen, Denmark""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
BrainScan (WAR: BSN),BSN,,15-May-2024,IPO,"""Gdansk, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
